GEOID20,District
34003170007,10
34003175001,12
34003175002,12
34003175003,12
34003175004,12
34003175005,12
34003180001,12
34003180002,12
34003180003,12
34003180004,12
34003185001,10
34003185002,10
34003185003,10
34003190001,12
34003190002,12
34003190003,12
34003190004,10
34003190005,10
34003190006,10
34003190007,10
34003190008,10
34003190009,10
34003195001,0
34003195002,0
34003195003,0
34003195004,0
34003195005,0
34003195006,0
34003195007,0
34003195008,0
34003195009,0
34003195010,10
34003200001,12
34003200002,12
34003200003,12
34003205001,12
34003205002,12
34003210001,12
34003210002,12
34003210003,12
34003210004,12
34003210005,12
34003210006,12
34003210007,12
34003210008,12
34003215001,12
34003215002,12
34003215003,12
34003220001,12
34003220002,12
34003220003,12
34003220004,12
34003220005,12
34003220006,12
34003225001,10
34003225002,10
34003225003,10
34003225004,10
34003225005,10
34003225006,10
34003225007,10
34003225008,10
34003225009,10
34003225010,10
34003230001,10
34003230002,10
34003230003,10
34003230004,10
34003230005,10
34003230006,12
34003230007,12
34003230008,12
34003230009,12
34003230010,12
34003230011,12
34003230012,12
34003230013,12
34003230014,12
34003230015,10
34003230016,12
34003230017,12
34003230018,12
34003230019,12
34003230020,12
34003235001,12
34003235002,12
34003235003,12
34003235004,12
34003235005,12
34003235006,12
34003240001,12
34003240002,12
34003240003,12
34003240004,12
34003240005,12
34003240006,12
34003240007,12
34003240008,12
34003245001,10
34003245002,10
34003245003,10
34003245004,10
34003245005,10
34003250001,10
34003250002,10
34003250003,10
34003250004,10
34003250005,10
34003250006,10
34003250007,10
34003250008,10
34003255001,12
34003255002,12
34003255003,12
34003255004,12
34003255005,12
34003255006,12
34003255007,12
34003255008,12
34003255009,12
34003255010,12
34003255011,12
34003255012,12
34003255013,12
34003255014,12
34003255015,12
34003255016,12
34003255017,12
34003255018,12
34003255019,12
34003260001,12
34003260002,10
34003260003,10
34003260004,10
34003260005,10
34003260006,10
34003260007,10
34003260008,10
34003265001,12
34003265002,12
34003265003,12
34003265004,12
34003265005,12
34003270001,10
34003270002,10
34003270003,10
34003270004,10
34003275001,12
34003280001,10
34003280002,10
34003280003,10
34003280004,10
34003280005,10
34003280006,10
34003280007,10
34003280008,10
34003280009,10
34003280010,10
34003280011,10
34003280012,10
34003285001,10
34003285002,10
34003285003,10
34003285004,10
34003285005,10
34003285006,10
34003285007,10
34003285008,10
34003285009,10
34003285010,10
34003285011,10
34003290001,12
34003290002,12
34003295001,10
34003300001,10
34003300002,10
34003300003,10
34003300004,10
34003300005,10
34003300006,10
34003300007,10
34003300008,10
34003300009,10
34003300010,10
34003300011,10
34003300012,10
34003300013,10
34003300014,10
34003300015,10
34003300016,10
34003300017,10
34003300018,10
34003300019,10
34003300020,10
34003300021,10
34003300022,10
34003300023,10
34003305001,12
34003305002,12
34003305003,10
34003305004,10
34003305005,10
34003305006,10
34003305007,10
34003305008,12
34003305009,12
34003305010,12
34003305011,10
34003305012,12
34003310001,10
34003315001,12
34003315002,12
34003315003,12
34003315004,12
34003315005,12
34003320001,12
34003320002,12
34003320003,12
34003320004,12
34003320005,12
34003320006,12
34003325001,10
34003325002,10
34003325003,10
34003325004,10
34003325005,10
34003325006,10
34003330001,12
34003330002,12
34003330003,12
34003330004,12
34003330005,12
34003330006,12
34003335001,12
34003335002,12
34003335003,12
34003335004,12
34003335005,12
34003335006,12
34003335007,12
34003335008,12
34003340001,12
34003340002,12
34003340003,12
34003340004,12
34003345001,10
34003345002,10
34003345003,10
34003345004,10
34003345005,10
34003350001,12
34003350002,12
34003350003,12
34003350004,12
34003350005,12
34003350006,12
34003350007,12
34003350008,12
34003350009,12
34003350010,12
34005005001,4
34005010001,5
34005010002,5
34005010003,5
34005015101,8
34005015102,8
34005015103,8
34005015201,8
34005015301,8
34005020001,7
34005020002,8
34005020003,8
34005020004,7
34005020005,7
34005020006,8
34005020007,7
34005020008,7
34005025101,7
34005025102,7
34005025103,7
